id,Name,titleProject_id,class,score,login,password
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,IG75X2P9
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,svhN69qx
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,cKkV0t8x
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,p40wP4b8
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,4b2wVQ8l
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,u4cwCaff
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,yfbG42qY
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,0CkdQvew
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,TTS2Y8mX
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,A3TFsGFb
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,nxnOgF2P
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,5VFrcbGw
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,YYwgNxwf
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,ROwVjptQ
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,Ijq0ohnc
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,3Zh2npJw
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,N1aWNwfG
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,wMKHIHKW
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,lgyNL82c
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,WvWaUG51
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,6pRrFeLN
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,aSW20Zp7
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,Bbl3Exn6
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,fygCZ3c5
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,vjuZ8Zkx
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,w9PXwUTm
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,VvomLP2r
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,2yTTtQhh
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,vb4PvRSk
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,kCyk7wyr
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,r7emwPSn
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,eeSxrCKd
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,Gsy7bAEs
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,VOQ9zQ4g
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,lRMml0lz
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,uh9f1Mmj
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,NjgrJtiQ
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,Dr4bqooI
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,waTTlZ5C
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,GvMdy6YP
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,Udfczc4B
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,0toJt3KX
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,HG8PzNGW
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,pGkBQ2oa
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,o24I8y6N
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,n1VLzW7J
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,9D5In0Jc
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,NwbQ2Xjb
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,T1gUfRKw
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,dLQbkVMR
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,WNJLKjV3
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,2PyX4c9Y
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,qV7RwLEJ
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,ZC2EeAxG
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,yaEzVHqw
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,xWSMroed
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,PsWSz9Nj
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,cJhqNLOU
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,ohi3OhwP
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,xUnlyetv
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,H3Kc7C2M
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,GJ8yHEeM
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,Z9a5MSVi
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,TJ33bjT8
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,Gb7i54LD
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,n3nHduG5
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,fYMBQH5S
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,D1nMRNCZ
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,wIdUrq5j
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,us0CW0Nl
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,Q1Hn03M3
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,tL4oOyQP
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,7avpPxmK
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,vlCUPcQZ
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,5TsAwrGd
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,WFxHh0HX
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,zZcF922a
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,hjxxUYIG
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,LUK5NS1q
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,yY9YsBbg
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,WzoV60ys
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,6A1pcyyg
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,hOsK5RmW
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,iAQ7i2u8
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,B0JTiOCY
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,b6xbRaFp
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,6gnsEhH6
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,8jsFldWs
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,8G6pvhPN
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,QFit4zHs
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,jOMxJzce
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,MgJeM9rc
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,WBD3G6CM
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,kQgcvQ3Z
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,8vRfmVRp
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,jOmShazy
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,LZ5ZTj9A
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,odYhEhWF
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,9FKYkGMG
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,Kcg0pEsW
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,jqeyxbGl
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,fkwxZToW
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,oYMZFSVO
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,hP1hDVsK
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,kOTHXqT8
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,ZDZb9A0z
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,idjVLM4f
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,QK903ikZ
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,epzNrAHd
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,mj5z22Jp
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,bw7ts6ss
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,WVA8yN1E
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,BJs5gFjQ
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,5bNAW52m
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,PA6OfauY
438,Милина Алена Петровна,359,8г,3,Милина_АП,OFXTi5fN
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,R9Uir8iv
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,Mj0TZ8JV
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,0o7BNc49
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,NRfXU4DX
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,mTaOO9Uf
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,JJKKGDaY
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,rld4q3hw
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,iv9l4p0A
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,qyFEOuyv
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,SloINqVK
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,hYBQ2HvQ
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,SbA0AYjh
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,IV5bCqlC
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,sbl3gycA
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,3sRz57Vt
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,U00HEvts
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,6sJKDq8R
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,DWs7FkJl
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,BvoVsIN6
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,PVe1zkq4
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,zFxzN00c
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,fvukIJN3
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,YsKfZHHe
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,2z7XklGl
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,uhZ5G1cY
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,WYvKIvvj
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,y4K6cidw
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,EP4UqMsK
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,3TveSAN6
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,7oPa6N0c
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,DKgO2MfL
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,tsmHLwqW
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,RyRzX5FR
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,yPb1wWzZ
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,QwcUOUiJ
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,DsOD2iSB
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,xNHwtW0d
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,PXSsDRsb
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,QOahewh0
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,6r2kB3bp
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,PDdxJHRt
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,FsRm1zRb
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,NgbR1rlg
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,JzSqJ3IX
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,ENrIwt3H
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,8pTRbV8x
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,0krieBQc
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,Dxx13BHU
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,NWg7dRKJ
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,vSpnLXUi
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,jSaWc2Yb
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,doVnwcDc
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,3lhpEdWN
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,UjtUhQfh
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,UGgC866W
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,o865TkBJ
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,a6TiZgze
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,48mdH6vY
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,bIUucy8t
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,vVZVw7yN
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,rmggRgGr
